충전소위치,충전소위치상세,휴점일,이용가능시작시간,이용가능종료시간,완속충전가능여부,급속충전가능여부,급속충전기타입,완속충전기개수,급속충전기개수,주차료부과여부,행정구역,지번주소,도로명주소,관리업체,위도,경도,제공기관명,기준일,위도경도
강정크루즈터미널,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,서귀포시,제주특별자치도 서귀포시 강정동 4665-1,제주특별자치도 서귀포시 말질로 261,환경부,33.229276,126.477424,환경부,20240926.0,"[33.229276, 126.477424]"
아시아CGI애니메이션센터,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,서귀포시,제주특별자치도 서귀포시 동홍동 455-3,제주특별자치도 서귀포시 동홍로 41,환경부,33.2525749,126.5669806,환경부,20240926.0,"[33.2525749, 126.5669806]"
한국중부발전㈜ 상명풍력발전소,알수없음,"일,공휴일미개방",09:00, 이용불가,False,True,DC콤보,0,2,True,제주시,제주특별자치도 제주시 한림읍 금악리 450-11,제주특별자치도 제주시 한림읍 금악서길 133,환경부,33.3399625,126.2918359,환경부,20240926.0,"[33.3399625, 126.2918359]"
한국중부발전㈜ 제주화력본부 사택,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,제주시,제주특별자치도 제주시 삼양일동 1637-1,제주특별자치도 제주시 원당로 79,환경부,33.527544,126.592481,환경부,20240926.0,"[33.527544, 126.592481]"
문화예술진흥원,알수없음,연중무휴,00:00,24:00,True,True,DC콤보,1,2,True,제주시,제주특별자치도 제주시 일도이동 852,제주특별자치도 제주시 동광로 69,환경부,33.505176,126.535477,환경부,20240926.0,"[33.505176, 126.535477]"
제주특별자치도의회,알수없음,연중무휴,00:00,24:00,True,True,DC콤보,1,4,True,제주시,제주특별자치도 제주시 연동 311-45,제주특별자치도 제주시 문연로 13,환경부,33.4900988,126.4999013,환경부,20240926.0,"[33.4900988, 126.4999013]"
제주농업기술센터,알수없음,연중무휴,00:00,24:00,True,True,DC콤보,1,3,True,제주시,제주특별자치도 제주시 애월읍 상귀리 750,제주특별자치도 제주시 애월읍 상귀길 173,환경부,33.457922,126.4039,환경부,20240926.0,"[33.457922, 126.4039]"
김녕119지역센터,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,제주시,제주특별자치도 제주시 구좌읍 김녕리 352-3,제주특별자치도 제주시 구좌읍 김녕로 242,환경부,33.5544327,126.7628201,환경부,20240926.0,"[33.5544327, 126.7628201]"
용암해수산업화지원센터 2호관,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,제주시,제주특별자치도 제주시 구좌읍 한동리 4849-9,제주특별자치도 제주시 구좌읍 일주동로 2708-19,환경부,33.541291,126.816172,환경부,20240926.0,"[33.541291, 126.816172]"
제주특별자치도교육청,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,3,True,제주시,제주특별자치도 제주시 연동 311-46,제주특별자치도 제주시 문연로 5,환경부,33.4904897,126.4975761,환경부,20240926.0,"[33.4904897, 126.4975761]"
